region,country,reportyear,population,total_actual_dd,actual_dbd,actual_dcd,total_utilized_dd,utilized_dbd,utilized_dcd,dd_kidney_tx,ld_kidney_tx,total_kidney_tx,dd_liver_tx,domino_liver_tx,ld_liver_tx,total_liver_tx,total_heart,dd_lung_tx,ld_lung_tx,total_lung_tx,pancreas_tx,kidney_pancreas_tx,small_bowel_tx
America,Guatemala,2005,12.6,NA,NA,NA,NA,NA,NA,NA,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2005,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2005,4.6,44,43,1,NA,NA,NA,85,9,94,39,NA,NA,39,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Indonesia,2005,222.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2005,4.1,71,71,NA,NA,NA,NA,127,2,129,56,NA,NA,56,NA,NA,NA,3,5,5,NA
Eastern Mediterranean,Iran (Islamic Republic of),2005,69.5,118,118,0,NA,NA,NA,209,1721,1930,53,0,8,61,NA,NA,NA,4,0,0,0
Europe,Iceland,2005,0.3,2,2,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2005,58.1,1197,1197,NA,NA,NA,NA,1671,101,1772,1053,2,28,1081,NA,NA,NA,96,84,53,5
Eastern Mediterranean,Jordan,2005,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2005,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2005,47.8,91,91,0,NA,NA,NA,4,6,10,4,0,40,44,NA,NA,NA,0,0,0,0
Eastern Mediterranean,Kuwait,2005,2.7,13,13,0,NA,NA,NA,25,51,76,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2005,14.8,NA,NA,490,NA,NA,NA,20,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2005,5.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2005,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2005,5.9,0,0,0,NA,NA,NA,0,90,90,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2005,4.2,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2005,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2005,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2005,131.5,0,0,0,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2005,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2005,16.3,239,119,120,NA,NA,NA,422,275,697,114,1,1,115,NA,NA,NA,54,21,20,NA
Europe,Norway,2005,4.6,76,76,NA,NA,NA,NA,142,87,229,38,1,NA,38,NA,NA,NA,20,11,10,NA
Western Pacific,New Zealand,2005,4,29,29,NA,NA,NA,NA,51,48,99,23,NA,4,27,NA,NA,NA,11,2,2,NA
Western Pacific,Philippines,2005,83.1,13,NA,0,NA,NA,NA,15,200,215,2,0,0,2,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2005,38.5,556,556,NA,NA,NA,NA,1040,27,1067,199,NA,13,212,NA,NA,NA,3,22,22,NA
Europe,Portugal,2005,10.5,190,190,NA,NA,NA,NA,330,40,370,185,2,NA,185,NA,NA,NA,NA,9,9,NA
America,Paraguay,2005,6.2,2,2,NA,NA,NA,NA,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2005,21.7,11,11,NA,NA,NA,NA,19,163,182,5,NA,6,11,NA,NA,NA,NA,2,2,NA
Europe,Serbia,2005,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2005,24.6,62,62,0,NA,NA,NA,95,221,316,28,0,32,60,NA,NA,NA,4,2,2,NA
Eastern Mediterranean,Sudan,2005,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Singapore,2005,4.3,21,20,1,NA,NA,NA,43,53,96,2,0,32,34,NA,NA,NA,1,NA,NA,NA
Europe,Slovenia,2005,2,21,21,NA,NA,NA,NA,28,NA,28,13,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2005,5.4,64,64,NA,NA,NA,NA,115,18,133,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA
Africa,Senegal,2005,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2005,6.9,3,3,NA,NA,NA,NA,NA,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2005,73.2,153,153,NA,NA,NA,NA,273,653,926,124,NA,200,324,NA,NA,NA,NA,13,9,1
America,United States of America,2005,298.2,7593,7029,564,NA,NA,NA,9914,6563,16477,6121,NA,323,6444,NA,NA,NA,1408,1444,903,178
America,Uruguay,2005,3.5,64,64,NA,NA,NA,NA,116,3,119,1,NA,NA,1,NA,NA,NA,NA,2,2,NA
Europe,Uzbekistan,2005,26.6,NA,NA,NA,NA,NA,NA,13,13,26,0,NA,NA,0,NA,NA,NA,NA,0,NA,0
Africa,South Africa,2005,47.4,74,NA,NA,NA,NA,NA,148,84,232,14,NA,NA,14,NA,NA,NA,4,7,NA,NA
Europe,Albania,2006,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2006,3,NA,NA,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2006,39.1,462,NA,NA,NA,NA,NA,662,188,850,236,NA,NA,236,83,NA,NA,NA,29,29,NA
Europe,Austria,2006,8.2,207,203,4,NA,NA,NA,374,57,431,137,0,2,139,57,NA,NA,102,39,27,0
Western Pacific,Australia,2006,20.4,NA,NA,NA,NA,NA,NA,368,273,641,161,0,3,164,76,NA,NA,98,34,33,0
Europe,Azerbaijan,2006,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2006,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2006,10.4,282,249,33,NA,NA,NA,445,41,486,218,1,18,236,77,NA,NA,87,24,20,0
Europe,Bulgaria,2006,7.7,19,NA,NA,NA,NA,NA,30,4,34,9,NA,1,10,3,NA,NA,NA,NA,NA,NA
Western Pacific,Brunei Darussalam,2006,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2006,188.9,1112,NA,NA,NA,NA,NA,1520,1763,3283,1020,NA,NA,1020,138,NA,NA,NA,173,173,NA
South-East Asia,Bhutan,2006,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2006,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2006,32.6,468,464,4,NA,NA,4,773,486,1259,422,0,67,489,183,NA,NA,168,90,54,0
Europe,Switzerland,2006,7.3,80,NA,NA,NA,NA,NA,159,117,276,86,1,8,94,26,NA,NA,35,10,7,NA
Western Pacific,China,2006,1323.6,NA,NA,NA,NA,NA,NA,5900,600,6500,2400,NA,50,2450,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2006,46.3,396,NA,NA,NA,NA,NA,534,74,608,170,NA,NA,170,58,NA,NA,NA,3,3,NA
America,Costa Rica,2006,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2006,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2006,5.4,62,NA,NA,NA,NA,NA,120,58,178,36,0,0,36,27,NA,NA,32,0,0,0
America,Dominican Republic,2006,9,0,NA,NA,NA,NA,NA,0,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2006,13.4,34,NA,NA,NA,NA,NA,NA,134,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2006,43.4,1509,NA,76,NA,NA,NA,2055,102,2157,1033,6,18,1051,274,NA,NA,169,90,84,13
Europe,Finland,2006,5.3,109,104,5,NA,NA,NA,207,3,210,53,NA,NA,53,18,NA,NA,14,NA,NA,NA
Western Pacific,Fiji,2006,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2006,4.4,NA,NA,NA,NA,NA,NA,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Greece,2006,11.1,79,NA,NA,NA,NA,NA,144,63,207,27,NA,NA,27,7,NA,NA,NA,NA,NA,NA
America,Guatemala,2006,12.9,6,NA,NA,NA,NA,NA,6,75,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2006,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2006,4.6,57,NA,NA,NA,NA,NA,106,20,126,45,0,4,49,14,NA,NA,0,13,12,0
South-East Asia,Indonesia,2006,225.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Ireland,2006,4.2,91,NA,NA,NA,NA,NA,142,4,146,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
Eastern Mediterranean,Iran (Islamic Republic of),2006,70.3,128,128,0,NA,NA,NA,243,1615,1858,97,0,11,108,18,NA,NA,7,7,7,0
Europe,Iceland,2006,0.3,6,NA,NA,NA,NA,NA,0,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2006,58.1,1234,NA,NA,NA,NA,NA,1665,117,1782,1091,0,33,1124,344,NA,NA,92,87,63,4
Eastern Mediterranean,Jordan,2006,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Kenya,2006,35.1,NA,NA,NA,NA,NA,NA,NA,22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Republic of Korea,2006,48,141,140,1,NA,NA,NA,263,672,935,118,0,560,678,29,NA,NA,2,29,20,0
Eastern Mediterranean,Kuwait,2006,2.8,14,14,0,NA,NA,NA,28,69,97,0,0,0,0,0,NA,NA,0,0,0,0
Europe,Kazakhstan,2006,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2006,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2006,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2006,6,0,0,0,NA,NA,NA,0,54,54,0,NA,10,10,0,NA,NA,NA,NA,NA,NA
Europe,Republic of Moldova,2006,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2006,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2006,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2006,134.4,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
America,Nicaragua,2006,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2006,16.4,211,111,100,NA,NA,NA,378,274,652,94,0,4,98,39,NA,NA,55,23,20,0
Europe,Norway,2006,4.6,76,NA,NA,NA,NA,NA,132,80,212,62,NA,NA,62,32,NA,NA,35,10,7,NA
Western Pacific,New Zealand,2006,4.1,25,NA,NA,NA,NA,NA,41,49,90,24,0,4,28,9,NA,NA,13,6,6,0
Western Pacific,Philippines,2006,84.5,19,19,0,NA,NA,NA,37,653,690,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2006,38.5,496,NA,NA,NA,NA,NA,899,18,917,180,NA,20,200,96,NA,NA,6,37,36,0
Europe,Portugal,2006,10.5,201,NA,NA,NA,NA,NA,358,38,396,223,59,2,225,38,NA,NA,NA,13,13,0
America,Paraguay,2006,6.3,2,NA,NA,NA,NA,NA,2,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2006,21.6,22,22,0,NA,NA,NA,39,165,204,17,0,3,20,7,NA,NA,0,2,2,0
Europe,Serbia,2006,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2006,25.2,102,102,0,NA,NA,NA,151,220,371,49,0,37,86,13,NA,NA,2,2,1,0
Eastern Mediterranean,Sudan,2006,37,0,0,0,NA,NA,NA,0,74,74,0,0,0,0,0,NA,NA,0,0,0,0
Western Pacific,Singapore,2006,4.4,30,28,2,NA,NA,NA,56,29,85,7,0,5,12,6,NA,NA,1,NA,NA,NA
Europe,Slovenia,2006,2,30,NA,NA,NA,NA,NA,48,0,48,8,0,NA,8,7,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2006,5.4,64,64,0,NA,NA,NA,110,29,139,0,0,0,0,10,NA,NA,0,0,0,0
Africa,Senegal,2006,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2006,7,9,NA,NA,NA,NA,NA,18,65,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2006,74.2,143,NA,NA,NA,NA,NA,257,685,942,114,NA,205,319,45,NA,NA,NA,7,4,NA
America,United States of America,2006,301,8017,7375,642,NA,NA,NA,10654,6435,17089,6362,NA,288,6650,2192,NA,NA,NA,1386,924,175
America,Uruguay,2006,3.5,81,NA,NA,NA,NA,NA,134,8,142,NA,NA,NA,NA,7,NA,NA,NA,6,6,NA
Europe,Uzbekistan,2006,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2006,47.6,66,NA,NA,NA,NA,NA,132,91,223,22,NA,NA,22,21,NA,NA,5,9,NA,NA
Europe,Albania,2007,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2007,39.5,486,486,NA,NA,NA,NA,714,153,867,247,NA,21,268,83,NA,NA,24,70,68,6
Europe,Austria,2007,8.2,185,180,5,NA,NA,NA,336,62,398,116,NA,3,119,57,NA,NA,82,25,20,NA
Western Pacific,Australia,2007,20.6,198,179,19,NA,NA,NA,342,268,610,147,NA,4,151,62,NA,NA,79,247,196,NA
Europe,Azerbaijan,2007,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2007,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2007,10.5,298,259,39,NA,NA,NA,449,42,491,241,1,26,267,74,NA,NA,93,18,16,NA
Europe,Bulgaria,2007,7.6,9,9,0,NA,NA,NA,11,16,27,6,0,1,7,3,NA,NA,0,0,0,0
Western Pacific,Brunei Darussalam,2007,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2007,191.3,1049,NA,NA,NA,NA,NA,1883,1287,3170,978,NA,114,1092,159,NA,NA,NA,178,116,NA
South-East Asia,Bhutan,2007,2.3,0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,0,0,NA,0
Europe,Belarus,2007,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2007,32.9,493,471,22,NA,NA,22,763,480,1243,476,NA,12,488,173,NA,NA,183,73,49,NA
Europe,Switzerland,2007,7.3,81,81,NA,NA,NA,NA,162,99,261,79,5,8,87,29,NA,NA,NA,NA,NA,NA
Western Pacific,China,2007,1331.4,NA,NA,NA,NA,NA,NA,4500,1800,6300,1550,NA,450,2000,NA,NA,NA,NA,NA,NA,NA
America,Colombia,2007,47,NA,NA,NA,NA,NA,NA,695,63,758,193,NA,NA,193,60,NA,NA,NA,8,8,NA
America,Costa Rica,2007,4.5,19,NA,NA,NA,NA,NA,18,20,38,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Europe,Montenegro,2007,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Denmark,2007,5.5,72,72,NA,NA,NA,NA,115,56,171,43,0,0,43,29,NA,NA,33,NA,NA,NA
America,Dominican Republic,2007,9.1,0,0,NA,NA,NA,NA,1,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Ecuador,2007,13.6,23,23,NA,NA,NA,NA,10,41,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Spain,2007,43.6,1550,1462,88,NA,NA,NA,2074,137,2211,1087,16,25,1112,241,NA,NA,185,73,68,5
Europe,Finland,2007,5.3,91,91,NA,NA,NA,NA,168,5,173,53,NA,NA,53,22,NA,NA,15,NA,NA,NA
Western Pacific,Fiji,2007,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Georgia,2007,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA
Europe,Greece,2007,11.2,64,64,NA,NA,NA,NA,101,87,188,32,NA,NA,32,5,NA,NA,NA,NA,NA,NA
America,Guatemala,2007,13.2,18,18,NA,NA,NA,NA,36,102,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Honduras,2007,7.5,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Croatia,2007,4.6,58,58,NA,NA,NA,NA,66,0,66,23,0,0,23,6,NA,NA,NA,3,3,NA
South-East Asia,Indonesia,2007,228.1,0,0,0,NA,NA,NA,0,484,484,0,NA,1,1,0,NA,NA,0,0,NA,NA
Europe,Ireland,2007,4.3,88,88,0,NA,NA,NA,141,5,146,59,0,0,59,7,NA,NA,NA,5,5,0
Eastern Mediterranean,Iran (Islamic Republic of),2007,71.2,165,165,0,NA,NA,NA,311,1600,1911,148,0,14,162,37,NA,NA,3,31,NA,0
Europe,Iceland,2007,0.3,0,0,0,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Italy,2007,58.2,1194,1194,0,NA,NA,NA,1585,99,1684,1041,3,28,1069,311,NA,NA,112,77,58,2
Eastern Mediterranean,Jordan,2007,6,0,NA,NA,NA,NA,NA,0,10,10,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Africa,Kenya,2007,36,0,0,0,NA,NA,NA,0,26,26,0,0,0,0,0,NA,NA,0,0,0,0
Western Pacific,Republic of Korea,2007,48.1,148,144,4,NA,NA,NA,280,648,928,122,0,620,742,50,NA,NA,8,18,9,0
Eastern Mediterranean,Kuwait,2007,2.8,12,12,0,NA,NA,NA,23,51,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Kazakhstan,2007,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Western Pacific,Lao People's Democratic Republic,2007,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Lebanon,2007,3.7,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Libyan Arab Jamahiriya,2007,6.1,0,0,0,NA,NA,NA,0,50,50,0,0,6,6,0,NA,NA,0,0,0,0
Europe,Republic of Moldova,2007,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Mali,2007,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Maldives,2007,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Nigeria,2007,137.2,0,0,0,NA,NA,NA,0,14,14,0,0,0,0,0,NA,NA,0,0,0,0
America,Nicaragua,2007,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Netherlands,2007,16.4,277,163,114,NA,NA,NA,464,360,824,147,1,2,149,53,NA,NA,66,28,25,NA
Europe,Norway,2007,4.7,94,94,NA,NA,NA,NA,174,86,260,72,1,0,72,36,NA,NA,29,14,14,NA
Western Pacific,New Zealand,2007,4.1,38,38,NA,NA,NA,NA,65,58,123,30,NA,4,34,12,NA,NA,13,1,1,NA
Western Pacific,Philippines,2007,85.9,16,16,0,NA,NA,NA,29,1117,1146,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Europe,Poland,2007,38.5,352,295,7,NA,NA,NA,652,22,674,178,0,18,196,64,NA,NA,7,21,21,0
Europe,Portugal,2007,10.6,252,252,0,NA,NA,NA,446,37,483,263,71,2,265,51,NA,NA,4,19,19,0
America,Paraguay,2007,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Romania,2007,21.5,36,36,0,NA,NA,NA,70,152,222,31,0,7,38,9,NA,NA,0,1,1,0
Europe,Serbia,2007,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Saudi Arabia,2007,25.8,80,80,0,NA,NA,NA,122,260,382,54,0,39,93,12,NA,NA,0,1,1,0
Eastern Mediterranean,Sudan,2007,37.8,0,0,0,NA,NA,NA,0,65,65,0,0,0,0,0,NA,NA,0,0,0,0
Western Pacific,Singapore,2007,4.4,26,25,1,NA,NA,NA,46,31,77,12,NA,4,16,4,NA,NA,1,0,0,0
Europe,Slovenia,2007,2,23,23,0,NA,NA,NA,30,1,31,10,0,0,10,11,NA,NA,NA,NA,NA,NA
Europe,Slovakia,2007,5.4,107,107,0,NA,NA,NA,195,14,209,0,0,0,0,22,NA,NA,0,0,0,0
Africa,Senegal,2007,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,El Salvador,2007,7.1,NA,NA,NA,NA,NA,NA,NA,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Turkey,2007,75.2,223,223,0,NA,NA,NA,399,911,1310,209,NA,274,483,63,NA,NA,1,9,3,0
America,United States of America,2007,303.9,8085,7294,791,NA,NA,NA,10587,6038,16625,6227,NA,266,6493,2210,NA,NA,1469,1331,862,198
America,Uruguay,2007,3.5,60,60,NA,NA,NA,NA,96,6,102,3,NA,1,4,4,NA,NA,2,2,2,NA
Europe,Uzbekistan,2007,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,South Africa,2007,47.7,62,NA,NA,NA,NA,NA,124,85,209,36,NA,NA,36,26,NA,NA,7,10,NA,NA
Europe,Albania,2008,3.2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2008,3,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2008,39.9,519,NA,NA,NA,NA,NA,753,207,960,247,NA,33,280,100,NA,NA,32,85,77,8
Europe,Austria,2008,8.4,172,169,3,NA,NA,NA,303,58,361,112,0,4,116,62,NA,NA,119,34,31,NA
Western Pacific,Australia,2008,21,259,236,23,NA,NA,NA,424,352,776,192,NA,3,195,85,NA,NA,115,32,32,NA
Europe,Azerbaijan,2008,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Bosnia and Herzegovina,2008,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belgium,2008,10.5,274,232,42,NA,NA,NA,442,45,487,217,0,13,230,75,NA,NA,82,18,16,NA
Europe,Bulgaria,2008,7.6,8,8,NA,NA,NA,NA,8,11,19,5,0,4,9,3,NA,NA,NA,NA,NA,0
Western Pacific,Brunei Darussalam,2008,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Brazil,2008,194.2,1331,NA,NA,NA,NA,NA,2033,1747,3780,1053,NA,NA,1053,200,NA,NA,53,32,32,NA
South-East Asia,Bhutan,2008,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2008,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Canada,2008,33.2,486,446,40,NA,NA,40,730,474,1204,478,NA,67,545,168,NA,NA,135,85,64,4
